block_id,anchor_date,end_date,start_period,end_period,past_n,future_n,past_market_brier,past_model_brier,past_adv,past_trusted,future_horse_win_rate,future_net_pl_5pct,future_pot_5pct,future_rol_5pct,future_maxdd_5pct,future_net_pl_7pct,future_pot_7pct,future_rol_7pct,future_maxdd_7pct,future_profitable_5pct,future_profitable_7pct
10,2024-03-10,2024-04-01,2024,2024,50,20,0.22435649182696604,0.2527718401533271,-0.028415348326361056,False,0.45,-8.330000000000002,-0.4165000000000001,-0.19399161620866326,10.229999999999999,-8.55,-0.42750000000000005,-0.19911504424778761,10.41,False,False
11,2024-04-03,2024-06-01,2024,2024,50,20,0.25337688479003867,0.29408560512902043,-0.04070872033898176,False,0.25,4.05,0.20249999999999999,0.09372830363341818,5.640000000000001,3.749999999999999,0.18749999999999994,0.08678546632723905,5.680000000000001,True,True
12,2024-06-02,2024-07-26,2024,2024,50,20,0.2398129897908693,0.2700075251452473,-0.030194535354377994,False,0.15,10.37,0.5185,0.22301075268817203,3.9000000000000004,10.03,0.5015,0.2156989247311828,3.92,True,True
13,2024-07-28,2024-10-07,2024,2024,50,20,0.18638949855047454,0.18972296077766862,-0.0033334622271940784,False,0.35,-0.7600000000000011,-0.038000000000000055,-0.01772388059701495,8.14,-1.020000000000001,-0.051000000000000045,-0.02378731343283584,8.16,False,False
14,2024-10-11,2024-11-13,2024,2024,50,20,0.17328019589549185,0.16935516440071502,0.003925031494776826,True,0.3,-0.7399999999999998,-0.03699999999999999,-0.014973694860380407,6.44,-1.0200000000000018,-0.05100000000000009,-0.02063941723998385,6.6000000000000005,False,False
15,2024-11-20,2024-12-17,2024,2024,50,21,0.20046132597459276,0.2122161048309882,-0.011754778856395448,False,0.3333333333333333,-0.8399999999999994,-0.03999999999999997,-0.017617449664429515,8.58,-1.1200000000000008,-0.05333333333333337,-0.02348993288590605,8.66,False,False
16,2024-12-18,2025-01-24,2024,2025,50,21,0.2067210688699861,0.2219017961432885,-0.015180727273302413,False,0.19047619047619047,9.039999999999996,0.4304761904761903,0.1769426502250929,3.110000000000001,8.699999999999998,0.41428571428571415,0.1702877275396359,3.130000000000001,True,True
17,2025-01-25,2025-03-01,2025,2025,50,22,0.17945132752794016,0.18361443636890232,-0.00416310884096216,False,0.5,-11.110000000000001,-0.505,-0.22590483936559577,13.009999999999998,-11.330000000000002,-0.5150000000000001,-0.23037820252135016,13.190000000000003,False,False
18,2025-03-02,2025-03-30,2025,2025,50,20,0.20128552759201818,0.22985762593899572,-0.028572098346977548,False,0.25,1.9099999999999993,0.09549999999999996,0.03956089478044737,5.359999999999999,1.6099999999999985,0.08049999999999993,0.03334714167357081,5.359999999999999,True,True
19,2025-04-05,2025-05-02,2025,2025,50,20,0.21526048487235877,0.2447952166691763,-0.029534731796817537,False,0.3,-2.24,-0.11200000000000002,-0.042715484363081625,12.69,-2.5200000000000014,-0.12600000000000006,-0.048054919908466845,12.75,False,False
20,2025-05-03,2025-06-21,2025,2025,50,20,0.2186133811387438,0.23174112908178623,-0.013127747943042445,False,0.2,6.7,0.335,0.14458351316357357,3.4999999999999982,6.379999999999999,0.31899999999999995,0.13767803193785064,3.5600000000000005,True,True
21,2025-06-27,2025-08-20,2025,2025,50,21,0.1889422071540393,0.18818332101653293,0.0007588861375063816,True,0.19047619047619047,6.8500000000000005,0.3261904761904762,0.1328291642427768,4.9,6.509999999999998,0.3099999999999999,0.1262361838278068,4.8999999999999995,True,True
22,2025-09-06,2025-10-11,2025,2025,50,20,0.1700411753722447,0.16252373688493674,0.007517438487307959,True,0.25,0.6799999999999982,0.033999999999999905,0.014514407684098144,8.260000000000002,0.3799999999999979,0.018999999999999895,0.00811099252934894,8.280000000000001,True,True
23,2025-10-15,2025-11-16,2025,2025,50,20,0.19234076224163194,0.19059689452722123,0.0017438677144107073,True,0.15,9.009999999999996,0.4504999999999998,0.1725723041562918,4.58,8.669999999999998,0.4334999999999999,0.16606014173529968,4.58,True,True
24,2025-11-19,2026-01-10,2025,2026_JAN_JUL,50,20,0.17007868229938577,0.15515143868545211,0.01492724361393366,True,0.1,12.429999999999996,0.6214999999999998,0.25264227642276416,3.2,12.069999999999997,0.6034999999999998,0.24532520325203244,3.2,True,True
25,2026-01-11,2026-03-15,2026_JAN_JUL,2026_JAN_JUL,50,20,0.15868843265733484,0.1360289519736995,0.022659480683635352,True,0.1,13.709999999999997,0.6854999999999999,0.2778678556951763,1.7999999999999998,13.349999999999998,0.6674999999999999,0.27057154438589376,1.7999999999999998,True,True
26,2026-03-18,2026-05-16,2026_JAN_JUL,2026_JAN_JUL,50,21,0.12447498924365327,0.0920588925961592,0.03241609664749408,True,0.19047619047619047,6.96,0.3314285714285714,0.14320987654320985,3.9299999999999997,6.619999999999998,0.31523809523809515,0.13621399176954727,3.95,True,True
27,2026-05-17,2026-07-18,2026_JAN_JUL,2026_JAN_JUL,50,20,0.14138827168470683,0.11836637695802919,0.023021894726677636,True,0.3,-0.49000000000000044,-0.024500000000000022,-0.01018922852983989,9.95,-0.7700000000000011,-0.038500000000000055,-0.016011644832605552,9.99,False,False
