future_horizon,anchor_date,end_date,start_period,end_period,past_n,future_n,past_market_brier,past_model_brier,past_adv,past_trusted,future_market_brier,future_model_brier,future_adv,future_model_better,sign_correct
20,2024-06-02,2024-07-26,2024,2024,50,20,0.2398129897908693,0.2700075251452473,-0.030194535354377994,False,0.14016991402125706,0.1263610862536507,0.013808827767606363,True,False
20,2024-07-28,2024-10-07,2024,2024,50,20,0.18638949855047454,0.18972296077766862,-0.0033334622271940784,False,0.21263611026067783,0.22789535534098193,-0.015259245080304101,False,True
20,2024-10-11,2024-11-13,2024,2024,50,20,0.17328019589549185,0.16935516440071502,0.003925031494776826,True,0.2044333674928208,0.22159036978789853,-0.017157002295077745,False,False
20,2024-11-20,2024-12-17,2024,2024,50,21,0.20046132597459276,0.2122161048309882,-0.011754778856395448,False,0.21263949523611594,0.22725693421956958,-0.014617438983453634,False,True
20,2024-12-18,2025-01-24,2024,2025,50,21,0.2067210688699861,0.2219017961432885,-0.015180727273302413,False,0.14490346788748873,0.13854588656211567,0.006357581325373063,True,False
20,2025-01-25,2025-03-01,2025,2025,50,22,0.17945132752794016,0.18361443636890232,-0.00416310884096216,False,0.2619970172798585,0.3260695649345627,-0.06407254765470416,False,True
20,2025-03-02,2025-03-30,2025,2025,50,20,0.20128552759201818,0.22985762593899572,-0.028572098346977548,False,0.19488675527811933,0.19271635585830135,0.0021703994198179755,True,False
20,2025-04-05,2025-05-02,2025,2025,50,20,0.21526048487235877,0.2447952166691763,-0.029534731796817537,False,0.21019200634441462,0.22160306943309638,-0.011411063088681755,False,True
20,2025-05-03,2025-06-21,2025,2025,50,20,0.2186133811387438,0.23174112908178623,-0.013127747943042445,False,0.1668317891204555,0.16691941144909203,-8.762232863654407e-05,False,True
20,2025-06-27,2025-08-20,2025,2025,50,21,0.1889422071540393,0.18818332101653293,0.0007588861375063816,True,0.16713394984425411,0.1484397886982983,0.018694161145955818,True,True
20,2025-09-06,2025-10-11,2025,2025,50,20,0.1700411753722447,0.16252373688493674,0.007517438487307959,True,0.21009755889434412,0.2097867990289987,0.000310759865345428,True,True
20,2025-10-15,2025-11-16,2025,2025,50,20,0.19234076224163194,0.19059689452722123,0.0017438677144107073,True,0.14139259042454305,0.1254746535662575,0.015917936858285547,True,True
20,2025-11-19,2026-01-10,2025,2026_JAN_JUL,50,20,0.17007868229938577,0.15515143868545211,0.01492724361393366,True,0.13290881055674916,0.09534548596614911,0.03756332459060005,True,True
20,2026-01-11,2026-03-15,2026_JAN_JUL,2026_JAN_JUL,50,20,0.15868843265733484,0.1360289519736995,0.022659480683635352,True,0.11559245794963253,0.08676763472348664,0.028824823226145893,True,True
20,2026-03-18,2026-05-16,2026_JAN_JUL,2026_JAN_JUL,50,21,0.12447498924365327,0.0920588925961592,0.03241609664749408,True,0.17192153143180558,0.16033643400015518,0.011585097431650399,True,True
20,2026-05-17,2026-07-18,2026_JAN_JUL,2026_JAN_JUL,50,20,0.14138827168470683,0.11836637695802919,0.023021894726677636,True,0.20357064042072212,0.21666732725020837,-0.013096686829486254,False,False
30,2023-04-19,2023-06-07,2023,2023,50,32,0.2338580143454351,0.2582897185561391,-0.02443170421070398,False,0.2585756083138429,0.2962314796405088,-0.03765587132666587,False,True
30,2023-06-10,2023-07-29,2023,2023,50,31,0.2376906743670032,0.26471066992245995,-0.027019995555456755,False,0.2101485919857318,0.22754798682996455,-0.01739939484423275,False,True
30,2023-07-30,2023-09-27,2023,2023,50,30,0.22555988765012436,0.24809781410145754,-0.02253792645133318,False,0.22726217352396985,0.25963186829751234,-0.032369694773542484,False,True
30,2023-09-30,2023-11-15,2023,2023,50,31,0.20924110476886576,0.23058085231402617,-0.02133974754516041,False,0.20157067692121142,0.2052663468743226,-0.003695669953111186,False,True
30,2023-11-18,2023-12-29,2023,2023,50,30,0.22112452653298295,0.23129463663867028,-0.01017011010568733,False,0.23340638518021228,0.2578350539718872,-0.024428668791674935,False,True
30,2023-12-30,2024-02-11,2023,2024,50,30,0.22262186164804432,0.23897073935117008,-0.016348877703125764,False,0.21439017410717717,0.23766637336782617,-0.023276199260649,False,True
30,2024-02-14,2024-03-27,2024,2024,50,31,0.23065767101329318,0.25869735439797337,-0.028039683384680186,False,0.25012259025572126,0.28272508376412686,-0.032602493508405606,False,True
30,2024-03-30,2024-06-09,2024,2024,50,31,0.2405469206249902,0.27169369107450186,-0.031146770449511668,False,0.2003522875012067,0.22064815558539969,-0.02029586808419298,False,True
30,2024-06-12,2024-09-11,2024,2024,50,31,0.21679024535394015,0.24341921096685,-0.026628965612909866,False,0.17617283726807295,0.16669149610606562,0.009481341162007328,True,False
30,2024-09-14,2024-11-24,2024,2024,50,30,0.17694651649596588,0.17400558611886122,0.0029409303771046613,True,0.1992480711146119,0.2113469774677408,-0.012098906353128908,False,False
30,2024-11-27,2025-01-05,2024,2025,50,30,0.20732965208518325,0.22184513596314914,-0.01451548387796589,False,0.19205743888294818,0.19537493465117753,-0.003317495768229345,False,True
30,2025-01-08,2025-03-01,2025,2025,50,30,0.19481401287897357,0.20186874563144186,-0.00705473275246829,False,0.2288429712685184,0.2795144572097596,-0.050671485941241184,False,True
30,2025-03-02,2025-04-21,2025,2025,50,32,0.20128552759201818,0.22985762593899572,-0.028572098346977548,False,0.22080320721036029,0.22977956448911163,-0.008976357278751346,False,True
30,2025-04-25,2025-06-28,2025,2025,50,30,0.2376626515650909,0.2658416390985959,-0.028178987533505034,False,0.16260472941706614,0.16368265762153822,-0.001077928204472084,False,True
